cruise_name,code,ship,link_to_cruise,departure_date,duration,price,PolarInside,PolarOutside,ArcticSuperior,ExpeditionSuite
Expedition across the Arctic Sea,CENSPSPI1801,MS Spitsbergen,https://www.hurtigruten.com/destinations/svalbard/expedition-across-the-arctic-sea/,2018-05-19,12 Days,3810 €,3810 €,4327 €,5430 €,6603 €
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1702,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-09-11,6 Days,1837 €,1837 €,2625 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-05-21,6 Days,1381 €,1381 €,2073 €,,
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1701,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-08-31,6 Days,2500 €,2500 €,2900 €,,
Inca cultures and wildlife highlights of the Andean coast,CENFRSOU1901A,MS Fram,https://www.hurtigruten.com/destinations/south-america/inca-cultures-and-wildlife-highlights-of-the-andean-coast/,2019-03-19,10 Days,4019 €,4019 €,4272 €,4576 €,5149 €
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1701,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-08-03,6 Days,3413 €,,3413 €,,
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1701,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-08-24,6 Days,2500 €,2500 €,2763 €,,
From ancient Inca kingdoms to the Costa Rican rainforest,CENFRSOU1901B,MS Fram,https://www.hurtigruten.com/destinations/south-america/from-ancient-inca-kingdoms-to-the-costa-rican-rainforest/,2019-03-22,13 Days,4862 €,4862 €,5241 €,5696 €,6556 €
From ancient Inca kingdoms to the Costa Rican rainforest 2018,CENFRWOR1706B,MS Fram,https://www.hurtigruten.com/destinations/south-america/from-ancient-inca-kingdoms-to-the-costa-rican-rainforest-2018/,2018-03-14,13 Days,5053 €,5053 €,5615 €,6012 €,6943 €
From the Costa Rican rainforest to ancient Inca kingdoms,CENFRSOU1801A,MS Fram,https://www.hurtigruten.com/destinations/south-america/from-the-costa-rican-rainforest-to-ancient-inca-kingdoms/,2018-11-04,13 Days,4862 €,4862 €,5386 €,5696 €,6556 €
From Inca Mysteries to lush Costa Rica,CENAMSOU1901B,MS Roald Amundsen,https://www.hurtigruten.com/destinations/south-america/from-inca-mysteries-to-lush-costa-rica/,2019-03-30,12 Days,4310 €,,4310 €,4804 €,5199 €
Grand Arctic Circumnavigation,CENFRSPI1706,MS Fram,https://www.hurtigruten.com/destinations/svalbard/grand-arctic-circumnavigation/,2017-08-14,12 Days,10555 €,,,10555 €,13029 €
Grand Arctic Circumnavigation,CENFRSPI1706,MS Fram,https://www.hurtigruten.com/destinations/svalbard/grand-arctic-circumnavigation/,2017-08-04,12 Days,8087 €,8087 €,9498 €,10555 €,13770 €
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-07-26,6 Days,1543 €,1543 €,2465 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-07-19,6 Days,1543 €,1543 €,2465 €,,
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1702,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-09-04,6 Days,2362 €,2362 €,2625 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-07-23,6 Days,1543 €,1543 €,2359 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-07-02,6 Days,1543 €,1543 €,2359 €,,
The Complete Spitsbergen Expedition,CENSPSPI1805,MS Spitsbergen,https://www.hurtigruten.com/destinations/svalbard/the-complete-spitsbergen-expedition/,2018-06-22,10 Days,5906 €,5906 €,6634 €,7653 €,9838 €
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-07-09,6 Days,1543 €,1543 €,2359 €,,
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1702,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-08-21,6 Days,2500 €,2500 €,2900 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-07-16,6 Days,1543 €,1543 €,2359 €,,
Spitsbergen and Polar Bears - An Arctic Adventure (A),CENNXSPI1802,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-a/,2018-06-18,6 Days,1543 €,1543 €,2359 €,,
The Complete Spitsbergen Expedition,CENSPSPI1806,MS Spitsbergen,https://www.hurtigruten.com/destinations/svalbard/the-complete-spitsbergen-expedition/,2018-06-30,10 Days,5906 €,5906 €,6634 €,7653 €,9838 €
Norwegian Coastal Expeditions: Southbound,CENEXPKB,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/norwegian-coastal-expeditions-kirkenes-bergen/,2017-07-25,6 Days,1699 €,,,1699 €,4103 €
Spitsbergen and Polar Bears - An Arctic Adventure,CENNXSPI1702,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure/,2017-07-31,6 Days,2062 €,2062 €,3200 €,,
Wildlife in South Georgia and Icy Antarctica,CENFRWOR1705,MS Fram,https://www.hurtigruten.com/destinations/south-america/wildlife-in-the-south-atlantic-ocean/,2017-10-29,18 Days,6147 €,6147 €,7361 €,8128 €,12701 €
Andean Coast contrasts from Desert to Jungles,CENAMSOU1901,MS Roald Amundsen,https://www.hurtigruten.com/destinations/south-america/andean-coast-contrasts-from-desert-to-jungles/,2019-03-26,16 Days,3368 €,,3368 €,4210 €,4884 €
The Complete Spitsbergen Expedition,CENSPSPI1804,MS Spitsbergen,https://www.hurtigruten.com/destinations/svalbard/the-complete-spitsbergen-expedition/,2018-06-14,10 Days,5906 €,5906 €,6634 €,7653 €,9838 €
Spitsbergen and Polar Bears - An Arctic Adventure (B),CENNXSPI1801,Nordstjernen,https://www.hurtigruten.com/destinations/svalbard/spitsbergen-and-polar-bears-an-arctic-adventure-b/,2018-06-28,6 Days,1543 €,1543 €,2465 €,,
Andean Coast expedition to Panama Canal - Northbound,CENFRSOU1901,MS Fram,https://www.hurtigruten.com/destinations/south-america/andean-coast-expedition-to-panama-canal-northbound/,2019-03-19,16 Days,3830 €,3830 €,4405 €,5094 €,6397 €
